IP,, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
104.199.109.192,First,Dropcam,US,None,None,"GOOGLE-CLOUD-PLATFORM, US",US,oculus684-eu1.dropcam.com,oculus684-eu1.dropcam.com,None,None,750,194394,346,79945,404,114449
129.151.225.244,Time,None,None,None,None,"ORACLE-BMC-31898, US",US,pool.ntp.org,pool.ntp.org,None,None,20,1800,10,900,10,900
129.250.35.251,Time,None,None,None,None,"NTT-LTD-2914, US",US,pool.ntp.org,pool.ntp.org,None,None,10,900,5,450,5,450
130.211.135.74,First,Dropcam,US,None,None,"GOOGLE-CLOUD-PLATFORM, US",US,oculus1491-us1.dropcam.com,oculus1491-us1.dropcam.com,None,None,749,214110,339,78944,410,135166
141.95.158.40,Time,None,None,None,None,"OVH, FR",FR,pool.ntp.org,pool.ntp.org,None,None,10,900,5,450,5,450
149.202.2.105,Time,None,None,None,None,"OVH, FR",FR,pool.ntp.org,pool.ntp.org,None,None,14,1260,7,630,7,630
162.159.200.1,Time,None,None,None,None,"CLOUDFLARENET, US",US,pool.ntp.org,pool.ntp.org,None,None,36,3240,18,1620,18,1620
162.159.200.123,Time,None,None,None,None,"CLOUDFLARENET, US",US,pool.ntp.org,pool.ntp.org,None,None,36,3240,18,1620,18,1620
162.19.224.29,Time,None,None,None,None,"OVH, FR",FR,pool.ntp.org,pool.ntp.org,None,None,10,900,5,450,5,450
178.32.220.61,Time,None,None,None,None,"OVH, FR",FR,pool.ntp.org,pool.ntp.org,None,None,10,900,5,450,5,450
185.123.84.51,Time,None,None,None,None,"ALTINEA-AS, FR",FR,pool.ntp.org,pool.ntp.org,None,None,22,1980,11,990,11,990
188.165.49.6,Time,None,None,None,None,"OVH, FR",FR,pool.ntp.org,pool.ntp.org,None,None,20,1800,10,900,10,900
193.52.136.2,Time,None,None,None,None,"FR-RENATER Reseau National de telecommunications pour la Technologie, FR",FR,pool.ntp.org,pool.ntp.org,None,None,26,2340,13,1170,13,1170
194.177.34.116,Time,None,None,None,None,"INHERENT, FR",FR,pool.ntp.org,pool.ntp.org,None,None,56,5040,28,2520,28,2520
194.57.169.1,Time,None,None,None,None,"FR-RENATER Reseau National de telecommunications pour la Technologie, FR",FR,pool.ntp.org,pool.ntp.org,None,None,12,1080,6,540,6,540
195.154.226.102,Time,None,None,None,None,"Online SAS, FR",FR,pool.ntp.org,pool.ntp.org,None,None,12,1080,6,540,6,540
212.83.158.83,Time,None,None,None,None,"Online SAS, FR",FR,pool.ntp.org,pool.ntp.org,None,None,20,1800,10,900,10,900
212.85.158.10,Time,None,None,None,None,"IELO IELO Main Network, FR",FR,pool.ntp.org,pool.ntp.org,None,None,39,3510,19,1710,20,1800
217.182.137.208,Time,None,None,None,None,"OVH, FR",FR,pool.ntp.org,pool.ntp.org,None,None,34,3060,17,1530,17,1530
35.195.102.202,First,Dropcam,US,None,None,"GOOGLE-CLOUD-PLATFORM, US",US,oculus395-eu1.dropcam.com,oculus395-eu1.dropcam.com,None,None,83788,8749855,42067,3560412,41721,5189443
5.39.80.51,Time,None,None,None,None,"OVH, FR",FR,pool.ntp.org,pool.ntp.org,None,None,10,900,5,450,5,450
8.8.4.4,Third,None,None,None,None,"GOOGLE, US",US,dns.google,dns.google,None,None,26,2486,13,1521,13,965
8.8.8.8,Third,None,None,None,None,"GOOGLE, US",US,dns.google,dns.google,None,None,66,6328,33,3863,33,2465
82.65.141.217,Time,None,None,None,None,"PROXAD, FR",FR,pool.ntp.org,pool.ntp.org,None,None,22,1980,11,990,11,990
91.224.149.41,Time,None,None,None,None,"TETANEUTRAL-NET-AS, FR",FR,pool.ntp.org,pool.ntp.org,None,None,12,1080,6,540,6,540
94.23.215.121,Time,None,None,None,None,"OVH, FR",FR,pool.ntp.org,pool.ntp.org,None,None,10,900,5,450,5,450
