Interval,Frames,Bytes
0 <> 21600,14237,4483885
21600 <> 43200,14811,4759081
43200 <> 64800,15266,5059553
64800 <> 86400,15161,4878101
86400 <> 108000,15358,4939003
108000 <> 129600,14662,4723312
129600 <> 151200,15002,4856351
151200 <> 172800,28594,54456790
172800 <> 194400,41308,72458041
194400 <> 216000,18203,7183927
216000 <> 237600,16383,6457455
237600 <> 259200,13987,5378403
259200 <> 280800,16125,6230731
280800 <> 302400,15749,5900892
302400 <> 324000,15542,6173046
324000 <> 345600,12927,4808961
345600 <> 367200,16852,6358128
367200 <> 388800,15252,5697152
388800 <> 410400,14922,5691759
410400 <> 432000,13907,5270385
432000 <> 453600,18388,7437889
453600 <> 475200,13742,4899843
475200 <> 496800,14344,5605830
496800 <> Dur,16599,6201398
